Id,Land Contour,Lot Config,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Year Built,Year Remod/Add,Roof Style,Roof Matl,Mas Vnr Area,Exter Qual,Bsmt Qual,Total Bsmt SF,Heating,1st Flr SF,Gr Liv Area,Full Bath,Kitchen Qual,TotRms AbvGrd,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Area,Sale Type,SalePrice,Garage Total Value,Overall Total Value,Exter Total Value,Total Flr SF,Fireplace Total Value,Total Bath,Kitchen Total Value
1044,Lvl,Inside,BrDale,Norm,Norm,Twnhs,2Story,6,1971,1971,Gable,CompShg,232.0,3,3,483.0,GasA,483,987,1,3,4,0,Detchd,1,1.0,264.0,COD,85400,8.0,11,6,987,0,2.0,4
2752,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,2005,2005,Gable,CompShg,0.0,4,4,1208.0,GasA,1208,1208,2,4,6,0,Attchd,2,2.0,632.0,WD ,183600,10.0,12,7,1208,0,2.0,5
807,Bnk,FR2,SawyerW,Feedr,Norm,1Fam,2Story,5,1880,2007,Gable,CompShg,0.0,4,0,0.0,GasA,1288,2016,1,3,7,3,Attchd,1,2.0,576.0,WD ,131000,9.0,12,7,2016,4,1.0,4
1177,Lvl,Inside,Somerst,Norm,Norm,Twnhs,2Story,8,1999,2000,Gable,CompShg,456.0,4,4,960.0,GasA,962,1607,2,4,7,0,Detchd,1,2.0,480.0,ConLD,200000,9.0,13,7,1607,0,4.0,5
1480,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,2007,2007,Gable,CompShg,0.0,4,4,1351.0,GasA,1361,1361,2,4,6,0,Attchd,2,2.0,610.0,WD ,193000,10.0,12,7,1361,0,2.0,5
324,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1Story,5,2004,2005,Gable,CompShg,0.0,3,5,1430.0,GasA,1430,1430,2,4,7,0,Attchd,2,2.0,624.0,WD ,173500,10.0,10,6,1430,0,2.0,5
1311,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,5,1916,1950,Gable,CompShg,0.0,3,3,624.0,GasA,624,1344,1,3,7,0,Detchd,1,3.0,513.0,COD,98000,8.0,10,6,1344,0,1.0,4
770,Lvl,Corner,Sawyer,Feedr,Norm,1Fam,1Story,5,1963,1963,Gable,CompShg,0.0,3,3,1121.0,GasA,1121,1121,1,3,5,0,Detchd,1,2.0,480.0,WD ,139000,9.0,11,6,1121,0,2.0,4
2063,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,6,1977,1977,Gable,CompShg,148.0,3,3,660.0,GasA,1285,1285,1,3,7,3,Attchd,2,2.0,528.0,WD ,143500,10.0,11,6,1285,4,2.0,4
69,Lvl,Inside,Somerst,Norm,Norm,1Fam,2Story,7,2009,2009,Gable,CompShg,0.0,3,4,756.0,GasA,764,1547,2,4,7,0,Attchd,1,2.0,614.0,Con,215200,9.0,12,6,1547,0,3.0,5
2062,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,1968,1968,Gable,CompShg,0.0,3,4,894.0,GasA,894,894,1,3,5,1,Attchd,3,2.0,450.0,WD ,129000,11.0,10,6,894,2,1.0,4
351,Lvl,Inside,StoneBr,Norm,Norm,TwnhsE,1Story,8,2000,2000,Gable,CompShg,0.0,4,4,1501.0,GasA,1659,1659,2,5,5,5,Attchd,3,2.0,499.0,WD ,278000,11.0,13,7,1659,6,3.0,6
2393,Lvl,Corner,NridgHt,Norm,Norm,1Fam,2Story,8,2005,2006,Gable,CompShg,0.0,4,5,1209.0,GasA,1209,2253,2,5,8,4,Attchd,3,2.0,575.0,New,344133,11.0,13,7,2253,5,3.0,6
12,Lvl,Inside,Gilbert,Norm,Norm,1Fam,1Story,6,1992,2007,Gable,CompShg,0.0,3,4,1168.0,GasA,1187,1187,2,3,6,0,Attchd,3,2.0,420.0,WD ,185000,11.0,13,7,1187,0,3.0,4
2339,Bnk,Inside,Gilbert,Norm,Norm,2fmCon,1Story,5,1955,1955,Hip,CompShg,0.0,3,3,1056.0,GasA,1056,1056,1,3,5,0,Attchd,3,2.0,572.0,WD ,145000,11.0,10,6,1056,0,2.0,4
624,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,6,1961,1961,Hip,CompShg,3.0,3,3,1453.0,GasA,1453,1453,2,3,6,3,Attchd,2,2.0,530.0,WD ,187500,10.0,12,6,1453,4,3.0,4
86,Lvl,Inside,Sawyer,RRAe,Norm,1Fam,1Story,5,1965,2009,Gable,CompShg,0.0,3,3,894.0,GasA,894,894,1,3,5,4,Detchd,1,1.0,336.0,WD ,138500,8.0,13,7,894,5,2.0,4
1534,HLS,Inside,Crawfor,Norm,Norm,1Fam,1.5Fin,5,1937,1995,Gable,CompShg,0.0,3,3,942.0,GasA,1265,1938,2,4,7,4,Detchd,1,1.0,240.0,WD ,198000,8.0,11,6,1938,5,2.0,5
2243,Lvl,Inside,IDOTRR,Feedr,Norm,2fmCon,2Story,5,1895,2006,Gable,CompShg,0.0,3,3,957.0,GasA,1034,1991,2,3,9,0,NA,0,0.0,0.0,WD ,119600,0.0,11,7,1991,0,2.0,5
1957,Lvl,Corner,NAmes,Artery,Norm,1Fam,1.5Fin,5,1949,2006,Gable,CompShg,0.0,3,3,672.0,GasA,672,924,1,3,6,1,Detchd,1,2.0,576.0,WD ,122900,9.0,12,7,924,2,1.0,4
380,Lvl,Inside,NWAmes,PosN,Norm,1Fam,1Story,8,1981,1981,Hip,WdShngl,0.0,4,4,2524.0,GasA,2524,2524,2,4,9,4,Attchd,3,2.0,542.0,WD ,278000,11.0,13,7,2524,5,4.0,5
2860,HLS,Corner,Crawfor,Norm,Norm,1Fam,2Story,8,1929,1950,Gable,CompShg,0.0,3,4,792.0,GasA,792,1517,1,4,7,4,Detchd,1,2.0,400.0,WD ,230000,9.0,15,6,1517,6,1.0,5
2517,Lvl,CulDSac,Veenker,Norm,Norm,TwnhsE,1Story,8,1995,1996,Hip,CompShg,0.0,4,4,1494.0,GasA,1494,1494,1,5,6,4,Attchd,3,2.0,481.0,WD ,270000,11.0,13,8,1494,5,3.0,6
1933,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6,1952,1952,Hip,CompShg,0.0,3,3,948.0,GasA,948,948,1,3,5,0,Detchd,1,2.0,410.0,WD ,125000,9.0,12,6,948,0,1.0,4
820,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,8,2007,2008,Hip,CompShg,336.0,4,5,1705.0,GasA,1718,1718,2,4,7,4,Attchd,2,3.0,826.0,WD ,297000,11.0,13,7,1718,5,3.0,5
675,HLS,Inside,NAmes,Norm,Norm,1Fam,1Story,6,1958,1958,Flat,Tar&Grv,82.0,3,4,160.0,GasA,1142,1142,1,3,5,4,Basment,2,1.0,384.0,WD ,113500,9.0,12,6,1142,5,1.0,4
2910,Lvl,Inside,MeadowV,Norm,Norm,TwnhsE,2Story,5,1977,1977,Gable,CompShg,0.0,3,3,757.0,GasA,925,1475,2,3,6,3,Attchd,2,1.0,336.0,WD ,127000,9.0,11,6,1475,4,2.0,4
21,Lvl,Inside,NWAmes,Norm,Norm,1Fam,1Story,6,1977,1977,Hip,CompShg,480.0,3,4,1844.0,GasA,1844,1844,2,3,7,3,Attchd,2,2.0,546.0,COD,190000,10.0,12,6,1844,4,2.0,4
1873,Lvl,Inside,NWAmes,Norm,Norm,1Fam,1Story,7,1973,1973,Hip,CompShg,320.0,3,3,1242.0,GasA,1242,1242,1,3,6,3,Attchd,1,2.0,528.0,WD ,175500,9.0,13,6,1242,4,2.0,4
2125,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,5,1994,1994,Gable,CompShg,0.0,3,4,990.0,GasA,990,990,1,3,5,0,Detchd,1,1.0,384.0,WD ,146000,8.0,12,7,990,0,2.0,4
1489,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,5,1965,1965,Gable,CompShg,0.0,4,3,1256.0,GasA,1256,1256,1,3,6,0,Attchd,3,1.0,276.0,WD ,147500,10.0,11,7,1256,0,3.0,4
2383,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,10,2006,2006,Gable,CompShg,0.0,5,5,2076.0,GasA,2076,2076,2,5,7,4,Attchd,3,3.0,850.0,New,465000,12.0,15,8,2076,5,4.0,6
983,Lvl,Corner,Mitchel,Norm,Norm,1Fam,SFoyer,5,1978,1978,Gable,CompShg,104.0,3,4,1097.0,GasA,1110,1110,1,4,4,3,Attchd,3,2.0,602.0,WD ,165500,11.0,11,7,1110,4,2.0,5
1325,Lvl,Inside,OldTown,Norm,Norm,1Fam,1.5Fin,5,1954,1954,Gable,CompShg,335.0,3,3,1050.0,GasA,1050,1795,2,3,7,0,Attchd,1,1.0,352.0,WD ,131500,7.0,10,6,1795,0,2.0,4
1378,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,1965,1965,Hip,CompShg,0.0,3,3,1040.0,GasA,1040,1040,1,3,5,0,Detchd,1,1.0,384.0,WD ,129500,8.0,10,6,1040,0,2.0,4
1537,HLS,Inside,Crawfor,Norm,Norm,1Fam,2Story,8,1935,1950,Gable,CompShg,40.0,3,3,608.0,GasA,983,1873,1,3,9,4,Detchd,3,2.0,786.0,WD ,257076,10.0,14,6,1873,6,2.0,4
905,Lvl,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,5,1941,1960,Gable,CompShg,0.0,3,3,984.0,GasA,984,1604,2,3,6,0,Detchd,1,2.0,660.0,WD ,117000,9.0,10,6,1604,0,2.0,4
1532,HLS,Inside,Crawfor,Norm,Norm,1Fam,2Story,7,1931,2000,Gable,CompShg,0.0,3,4,776.0,GasA,851,1502,1,3,6,4,Attchd,2,1.0,270.0,WD ,149000,9.0,13,5,1502,5,2.0,4
132,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1954,1954,Gable,CompShg,110.0,3,3,1056.0,GasA,1063,1063,1,3,6,0,Attchd,2,1.0,280.0,WD ,128000,9.0,10,6,1063,0,2.0,4
1078,Lvl,Inside,NridgHt,Norm,Norm,Twnhs,2Story,7,2003,2004,Gable,CompShg,106.0,4,4,764.0,GasA,764,1626,2,4,6,0,BuiltIn,2,2.0,474.0,WD ,155000,10.0,12,7,1626,0,3.0,5
2511,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,2Story,6,2000,2000,Gable,CompShg,513.0,4,4,756.0,GasA,768,1524,2,4,4,0,Detchd,1,2.0,440.0,WD ,166000,9.0,11,7,1524,0,3.0,5
912,Lvl,Inside,SWISU,Norm,Norm,1Fam,1.5Fin,4,1928,1950,Gable,CompShg,0.0,3,3,1122.0,GasA,1328,1981,2,4,7,3,Detchd,1,2.0,576.0,WD ,135000,9.0,7,6,1981,5,3.0,5
2351,Lvl,Inside,NWAmes,RRAn,Norm,1Fam,2Story,7,1978,1978,Gable,CompShg,184.0,3,4,1392.0,GasA,1392,2784,3,4,12,3,Attchd,2,2.0,564.0,WD ,250000,10.0,12,6,2784,5,5.0,5
330,Lvl,Inside,MeadowV,Norm,Norm,Twnhs,2Story,4,1970,1970,Gable,CompShg,0.0,3,3,546.0,GasA,546,1092,1,3,5,0,NA,0,0.0,0.0,WD ,76000,0.0,11,6,1092,0,2.0,4
2586,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,6,1951,1951,Hip,CompShg,522.0,3,3,216.0,GasA,1575,1575,1,4,5,4,Attchd,1,2.0,400.0,WD ,155000,9.0,12,6,1575,5,2.0,5
224,Lvl,Corner,Sawyer,Norm,Norm,1Fam,2Story,6,1969,1969,Gable,CompShg,143.0,3,3,663.0,GasA,663,1352,1,3,7,0,Attchd,3,1.0,299.0,WD ,158000,10.0,13,6,1352,0,2.0,4
98,Lvl,Inside,Somerst,Norm,Norm,Twnhs,2Story,7,2004,2005,Gable,CompShg,0.0,4,4,600.0,GasA,600,1200,2,4,4,0,Detchd,2,2.0,480.0,WD ,149500,10.0,12,7,1200,0,4.0,5
2565,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1954,1975,Gable,CompShg,0.0,3,3,936.0,GasA,936,936,1,3,5,0,Attchd,1,1.0,240.0,WD ,121000,8.0,11,7,936,0,1.0,4
1934,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6,1953,1953,Hip,CompShg,0.0,3,3,1040.0,GasA,1040,1040,1,3,6,0,Attchd,3,1.0,293.0,WD ,136000,10.0,13,6,1040,0,2.0,4
997,Lvl,Corner,Gilbert,Norm,Norm,1Fam,2Story,6,1996,1996,Gable,CompShg,0.0,3,4,916.0,GasA,916,1636,2,3,7,3,Attchd,3,2.0,386.0,WD ,173000,11.0,11,6,1636,4,3.0,4
64,Lvl,CulDSac,NoRidge,Norm,Norm,1Fam,2Story,8,1999,2007,Gable,CompShg,348.0,4,4,1152.0,GasA,1164,2270,2,4,9,4,Attchd,3,3.0,671.0,WD ,290000,12.0,15,7,2270,5,3.0,5
1799,Lvl,Inside,Somerst,Norm,Norm,1Fam,2Story,8,2007,2007,Gable,CompShg,0.0,4,4,1184.0,GasA,1184,2610,2,5,11,4,BuiltIn,3,2.0,550.0,New,303477,11.0,13,7,2610,5,3.0,6
230,Low,Inside,ClearCr,Norm,Norm,1Fam,1Story,7,1977,2001,Hip,CompShg,0.0,4,4,1420.0,GasA,1483,1483,1,3,4,3,Attchd,2,2.0,690.0,WD ,270000,10.0,14,8,1483,5,3.0,4
1295,Lvl,Corner,OldTown,Artery,Norm,1Fam,1.5Fin,5,1920,1950,Gable,CompShg,0.0,2,3,936.0,GasA,960,1740,1,5,6,4,Detchd,1,1.0,225.0,WD ,122250,6.0,10,4,1740,5,1.0,6
638,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1955,1955,Gable,CompShg,0.0,3,3,1382.0,GasA,1382,1382,1,4,6,0,Attchd,1,1.0,350.0,WD ,153000,8.0,10,6,1382,0,2.0,5
2278,Lvl,Inside,Mitchel,Feedr,Norm,1Fam,1Story,5,2007,2007,Gable,CompShg,0.0,3,4,1120.0,GasA,1120,1120,1,3,6,0,NA,0,0.0,0.0,New,147000,0.0,10,6,1120,0,1.0,4
2202,Lvl,Inside,Crawfor,Norm,Norm,1Fam,2Story,7,1930,1995,Gable,CompShg,0.0,3,4,531.0,GasA,567,1098,1,3,5,4,Detchd,1,1.0,216.0,WD ,148500,8.0,15,6,1098,5,2.0,4
2833,Lvl,Inside,Edwards,Norm,Norm,TwnhsE,2Story,7,2004,2004,Gable,CompShg,117.0,4,4,976.0,GasA,976,1708,2,4,7,0,Detchd,1,2.0,380.0,WD ,130000,9.0,12,7,1708,0,2.0,5
1707,HLS,Corner,NridgHt,Norm,Norm,1Fam,1Story,9,2006,2006,Hip,CompShg,510.0,5,5,1802.0,GasA,1802,1802,2,5,7,4,Attchd,3,3.0,843.0,WD ,372000,12.0,14,8,1802,5,3.0,6
2428,Lvl,Inside,Blmngtn,Norm,Norm,TwnhsE,1Story,7,2005,2005,Gable,CompShg,145.0,4,4,1362.0,GasA,1506,1506,2,4,6,4,Attchd,3,2.0,440.0,WD ,213490,11.0,12,7,1506,5,2.0,5
242,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,7,2009,2010,Gable,CompShg,96.0,4,4,1508.0,GasA,1508,1508,1,4,5,3,Attchd,2,2.0,572.0,Con,308030,10.0,12,7,1508,5,2.0,5
1564,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1Story,7,1996,1997,Gable,CompShg,668.0,4,5,1840.0,GasA,2032,2032,3,4,7,0,Attchd,3,3.0,786.0,WD ,300000,12.0,12,7,2032,0,4.0,5
2613,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,6,1959,1959,Hip,CompShg,0.0,3,3,655.0,GasA,1194,1194,1,3,6,2,BuiltIn,3,2.0,539.0,WD ,159500,11.0,12,6,1194,3,2.0,4
2832,Lvl,Inside,Edwards,Norm,Norm,Twnhs,2Story,7,2004,2004,Gable,CompShg,50.0,4,4,970.0,GasA,970,1709,2,4,7,0,Detchd,1,2.0,380.0,WD ,137500,9.0,12,7,1709,0,2.0,5
2459,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,7,2005,2005,Gable,CompShg,228.0,4,4,1616.0,GasA,1616,1616,2,4,7,0,Attchd,2,3.0,834.0,WD ,232000,11.0,12,7,1616,0,2.0,5
1360,Lvl,Inside,IDOTRR,RRNe,Norm,1Fam,1Story,6,1930,1950,Gable,CompShg,0.0,4,3,768.0,GasA,768,768,1,3,4,0,Detchd,1,2.0,440.0,WD ,93850,9.0,12,8,768,0,1.0,4
2723,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,1924,1950,Gable,CompShg,65.0,3,3,872.0,GasA,872,872,1,2,5,4,Detchd,1,1.0,322.0,WD ,105000,6.0,10,6,872,5,1.0,3
1350,Lvl,Inside,BrkSide,Feedr,RRNn,1Fam,1Story,4,1927,1950,Gable,CompShg,0.0,3,3,520.0,GasA,520,520,1,2,4,0,Detchd,1,1.0,240.0,WD ,68500,7.0,10,6,520,0,1.0,3
136,Lvl,Corner,NAmes,Feedr,Norm,Duplex,2Story,5,1960,1960,Gable,CompShg,361.0,3,3,1105.0,GasA,1105,2274,2,3,12,0,Detchd,1,2.0,480.0,WD ,154300,9.0,10,6,2274,0,2.0,5
2235,Lvl,Inside,IDOTRR,Artery,Norm,1Fam,1.5Fin,5,1925,2003,Gable,CompShg,0.0,4,3,936.0,GasA,936,1601,2,3,6,0,NA,0,0.0,0.0,WD ,129850,0.0,12,8,1601,0,2.0,4
1993,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,5,1910,1950,Gable,CompShg,0.0,3,3,616.0,GasA,616,1232,1,3,6,0,Detchd,1,2.0,480.0,WD ,114000,7.0,12,6,1232,0,1.0,4
1309,Lvl,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,5,1915,1950,Gable,CompShg,0.0,3,3,876.0,GasA,876,1416,1,3,7,4,Detchd,1,3.0,720.0,WD ,153900,10.0,13,6,1416,5,2.0,4
402,Lvl,FR2,NAmes,Norm,Norm,1Fam,1Story,4,1971,2006,Gable,CompShg,0.0,3,3,864.0,GasA,864,864,1,3,5,0,Detchd,1,2.0,576.0,WD ,130000,9.0,11,7,864,0,1.0,4
1592,Lvl,FR2,Mitchel,Norm,Norm,TwnhsE,1Story,6,1997,1997,Hip,CompShg,197.0,3,5,1189.0,GasA,1189,1189,2,3,4,0,Attchd,2,2.0,392.0,WD ,160500,10.0,11,6,1189,0,3.0,4
2409,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,9,2006,2006,Hip,CompShg,572.0,5,5,1666.0,GasA,1666,1666,2,4,6,4,Attchd,2,2.0,575.0,New,310090,10.0,14,8,1666,5,3.0,5
539,Lvl,Inside,SawyerW,Norm,Norm,1Fam,1Story,7,2003,2003,Gable,CompShg,0.0,4,4,1176.0,GasA,1200,1200,2,4,5,0,Attchd,2,2.0,555.0,WD ,184900,10.0,12,7,1200,0,3.0,5
1940,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1956,2000,Hip,CompShg,0.0,3,4,928.0,GasA,928,928,1,3,4,0,Attchd,1,1.0,252.0,WD ,132000,8.0,12,6,928,0,1.0,4
588,Lvl,Inside,NWAmes,Feedr,Norm,1Fam,1Story,5,1969,1969,Gable,CompShg,128.0,3,4,1288.0,GasA,1336,1336,2,3,6,2,Attchd,2,2.0,502.0,WD ,163000,10.0,10,6,1336,3,3.0,4
96,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,2Story,7,2004,2004,Gable,CompShg,120.0,4,4,600.0,GasA,600,1200,2,4,4,0,Detchd,2,2.0,480.0,ConLD,155000,10.0,12,7,1200,0,3.0,5
1187,Lvl,Inside,NWAmes,Norm,Norm,1Fam,SLvl,6,1969,1969,Gable,CompShg,0.0,3,3,1427.0,GasA,1427,1427,2,3,7,0,Attchd,2,2.0,516.0,WD ,183000,10.0,12,6,1427,0,3.0,4
2154,Lvl,Corner,CollgCr,Norm,Norm,1Fam,2Story,7,1996,2002,Gable,CompShg,254.0,4,4,860.0,GasA,1212,1992,2,4,7,3,Attchd,2,2.0,608.0,WD ,211000,10.0,12,7,1992,5,4.0,5
550,Lvl,Inside,SawyerW,RRAe,Norm,1Fam,2Story,7,1994,1994,Gable,CompShg,0.0,4,4,754.0,GasA,754,1540,2,4,6,0,Attchd,2,2.0,495.0,WD ,184000,10.0,12,7,1540,0,4.0,5
811,Bnk,Inside,SawyerW,Norm,Norm,Duplex,1Story,5,1979,1979,Gable,CompShg,0.0,3,0,0.0,GasA,1535,1535,2,3,8,0,Attchd,1,2.0,400.0,WD ,118858,9.0,10,6,1535,0,2.0,5
124,Lvl,Corner,NAmes,Norm,Norm,1Fam,SLvl,5,1964,1964,Hip,CompShg,86.0,3,3,1152.0,GasA,1152,1152,1,3,6,4,Attchd,2,2.0,484.0,WD ,180500,10.0,12,6,1152,5,2.0,4
1836,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,1Story,8,2006,2007,Gable,CompShg,30.0,4,4,1141.0,GasA,1151,1151,2,4,5,0,Attchd,3,2.0,484.0,New,166000,11.0,13,7,1151,0,3.0,5
779,Lvl,Inside,Sawyer,Norm,Norm,1Fam,SLvl,6,1960,1960,Hip,CompShg,54.0,3,3,1138.0,GasA,1138,1138,1,3,6,3,Attchd,2,2.0,480.0,COD,148000,10.0,11,6,1138,4,2.0,4
1886,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1956,1956,Hip,CompShg,0.0,3,3,894.0,GasA,1074,1074,1,4,6,4,Detchd,1,2.0,396.0,WD ,124000,9.0,10,6,1074,5,1.0,5
1724,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,9,2005,2005,Hip,CompShg,246.0,5,5,1561.0,GasA,1561,1561,2,5,6,4,Attchd,3,2.0,556.0,WD ,277500,11.0,14,8,1561,5,3.0,6
2450,Lvl,Inside,NoRidge,Norm,Norm,1Fam,2Story,8,1995,1995,Hip,CompShg,397.0,4,4,1342.0,GasA,1358,2726,2,4,9,5,Attchd,2,3.0,725.0,WD ,350000,11.0,13,7,2726,6,3.0,5
1013,HLS,CulDSac,StoneBr,Norm,Norm,1Fam,1Story,9,2004,2004,Hip,CompShg,296.0,5,5,1884.0,GasA,1884,1884,2,5,7,4,Attchd,3,3.0,670.0,WD ,387000,12.0,14,8,1884,5,3.0,6
2084,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,4,1920,2002,Gable,CompShg,0.0,3,3,528.0,GasA,605,605,1,3,5,0,NA,0,0.0,0.0,WD ,86000,0.0,11,6,605,0,2.0,4
728,Lvl,Corner,IDOTRR,Norm,Norm,1Fam,1Story,3,1900,1950,Mansard,CompShg,0.0,3,2,245.0,GasA,797,797,1,3,5,0,NA,0,0.0,0.0,WD ,44000,0.0,6,5,797,0,1.0,4
950,Lvl,CulDSac,Mitchel,Norm,Norm,1Fam,2Story,6,2001,2002,Gable,CompShg,0.0,3,5,804.0,GasA,804,1961,2,4,7,3,BuiltIn,3,2.0,560.0,WD ,215000,11.0,11,6,1961,4,4.0,5
2524,Lvl,Corner,NWAmes,RRAn,Feedr,2fmCon,1Story,5,1972,1972,Gable,CompShg,144.0,3,4,1153.0,GasA,1193,1193,2,3,6,0,Attchd,3,2.0,501.0,WD ,146500,11.0,11,6,1193,0,3.0,4
2513,Lvl,FR2,Somerst,Norm,Norm,Twnhs,2Story,7,2000,2000,Gable,CompShg,0.0,4,4,673.0,GasA,673,1382,2,4,6,0,Detchd,1,2.0,490.0,WD ,165000,9.0,12,7,1382,0,4.0,5
2028,Lvl,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,6,1916,1950,Gable,CompShg,0.0,3,3,714.0,GasW,1664,2526,2,4,10,4,Detchd,1,1.0,216.0,CWD,136000,8.0,13,7,2526,5,2.0,5
51,Lvl,Inside,NridgHt,Norm,Norm,Twnhs,2Story,7,2003,2003,Gable,CompShg,106.0,4,4,764.0,GasA,764,1626,2,4,6,0,BuiltIn,2,2.0,474.0,WD ,175500,10.0,12,7,1626,0,3.0,5
699,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,5,1939,1950,Gable,CompShg,0.0,3,3,690.0,GasA,868,1558,1,3,7,4,Detchd,1,2.0,400.0,WD ,150000,9.0,11,6,1558,5,2.0,4
1881,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1960,1978,Hip,CompShg,0.0,3,3,978.0,GasA,1422,1422,1,3,6,3,Attchd,2,1.0,286.0,WD ,139900,9.0,10,6,1422,4,1.0,4
