Id,MS Zoning,Street,Land Contour,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Bsmt Qual,Heating,Central Air,1st Flr SF,Full Bath,Kitchen Qual,TotRms AbvGrd,Garage Type,Garage Finish,Garage Cars,SalePrice,Garage Total Value,Overall Total Value,Exter Total Value,Total Flr SF,Fireplace Total Value,Total Bath,Has Basement,Has Garage,Has Porch,Has Pool,Was Remodeled,Is New
1044,RM,Pave,Lvl,BrDale,Norm,Norm,Twnhs,2Story,1971,1971,Gable,HdBoard,HdBoard,BrkFace,3,GasA,1,6.182084906716632,1,3,4,Detchd,1,1.0,85400,8.0,11,6,6.895682697747868,0,2.0,1,1,0,0,0,0
2752,RL,Pave,Lvl,CollgCr,Norm,Norm,1Fam,1Story,2005,2005,Gable,VinylSd,VinylSd,None,4,GasA,1,7.097548850614793,2,4,6,Attchd,2,2.0,183600,10.0,12,7,7.097548850614793,0,2.0,1,1,1,0,0,1
807,RL,Pave,Bnk,SawyerW,Feedr,Norm,1Fam,2Story,1880,2007,Gable,HdBoard,HdBoard,None,0,GasA,1,7.161622002939187,1,3,7,Attchd,1,2.0,131000,9.0,12,7,7.6093665379542115,3,1.0,0,1,0,0,1,0
1177,FV,Pave,Lvl,Somerst,Norm,Norm,Twnhs,2Story,1999,2000,Gable,MetalSd,MetalSd,BrkFace,4,GasA,1,6.870053411798126,2,4,7,Detchd,1,2.0,200000,9.0,13,7,7.382746449738912,0,4.0,1,1,0,0,1,0
1480,RL,Pave,Lvl,CollgCr,Norm,Norm,1Fam,1Story,2007,2007,Gable,VinylSd,VinylSd,None,4,GasA,1,7.216709486709457,2,4,6,Attchd,2,2.0,193000,10.0,12,7,7.216709486709457,0,2.0,1,1,1,0,0,1
324,RL,Pave,Lvl,Mitchel,Norm,Norm,1Fam,1Story,2004,2005,Gable,VinylSd,VinylSd,None,5,GasA,1,7.266128779556451,2,4,7,Attchd,2,2.0,173500,10.0,10,6,7.266128779556451,0,2.0,1,1,0,0,1,1
1311,RM,Pave,Lvl,OldTown,Norm,Norm,1Fam,2Story,1916,1950,Gable,AsbShng,AsbShng,None,3,GasA,0,6.437751649736401,1,3,7,Detchd,1,3.0,98000,8.0,10,6,7.20414929203594,0,1.0,1,1,1,0,1,0
770,RL,Pave,Lvl,Sawyer,Feedr,Norm,1Fam,1Story,1963,1963,Gable,VinylSd,VinylSd,None,3,GasA,1,7.022868086082641,1,3,5,Detchd,1,2.0,139000,9.0,11,6,7.022868086082641,0,2.0,1,1,1,0,0,0
2063,RL,Pave,Lvl,Sawyer,Norm,Norm,1Fam,1Story,1977,1977,Gable,Plywood,Plywood,BrkFace,3,GasA,1,7.1592919047975645,1,3,7,Attchd,2,2.0,143500,10.0,11,6,7.1592919047975645,3,2.0,1,1,0,0,0,0
69,FV,Pave,Lvl,Somerst,Norm,Norm,1Fam,2Story,2009,2009,Gable,VinylSd,VinylSd,None,4,GasA,1,6.639875833826536,2,4,7,Attchd,1,2.0,215200,9.0,12,6,7.344719054149673,0,3.0,1,1,1,0,0,1
2062,RL,Pave,Lvl,Sawyer,Norm,Norm,1Fam,1Story,1968,1968,Gable,VinylSd,VinylSd,None,4,GasA,1,6.796823718274855,1,3,5,Attchd,3,2.0,129000,11.0,10,6,6.796823718274855,1,1.0,1,1,0,0,0,0
351,RL,Pave,Lvl,StoneBr,Norm,Norm,TwnhsE,1Story,2000,2000,Gable,CemntBd,CmentBd,None,4,GasA,1,7.414572881350589,2,5,5,Attchd,3,2.0,278000,11.0,13,7,7.414572881350589,5,3.0,1,1,1,0,0,0
2393,RL,Pave,Lvl,NridgHt,Norm,Norm,1Fam,2Story,2005,2006,Gable,CemntBd,CmentBd,NA,5,GasA,1,7.098375638590786,2,5,8,Attchd,3,2.0,344133,11.0,13,7,7.720461694599722,4,3.0,1,1,1,0,1,1
12,RL,Pave,Lvl,Gilbert,Norm,Norm,1Fam,1Story,1992,2007,Gable,HdBoard,HdBoard,None,4,GasA,1,7.080026499922591,2,3,6,Attchd,3,2.0,185000,11.0,13,7,7.080026499922591,0,3.0,1,1,1,0,1,0
2339,RL,Pave,Bnk,Gilbert,Norm,Norm,2fmCon,1Story,1955,1955,Hip,Wd Sdng,Wd Sdng,None,3,GasA,0,6.963189985870238,1,3,5,Attchd,3,2.0,145000,11.0,10,6,6.963189985870238,0,2.0,1,1,0,0,0,0
624,RL,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,1961,1961,Hip,MetalSd,MetalSd,BrkFace,3,GasA,1,7.282073658093465,2,3,6,Attchd,2,2.0,187500,10.0,12,6,7.282073658093465,3,3.0,1,1,1,0,0,0
86,RL,Pave,Lvl,Sawyer,RRAe,Norm,1Fam,1Story,1965,2009,Gable,MetalSd,MetalSd,None,3,GasA,1,6.796823718274855,1,3,5,Detchd,1,1.0,138500,8.0,13,7,6.796823718274855,4,2.0,1,1,1,0,1,0
1534,RL,Pave,HLS,Crawfor,Norm,Norm,1Fam,1.5Fin,1937,1995,Gable,WdShing,Wd Shng,None,3,GasA,1,7.143617602704121,2,4,7,Detchd,1,1.0,198000,8.0,11,6,7.569927655242652,4,2.0,1,1,1,0,1,0
2243,C (all),Pave,Lvl,IDOTRR,Feedr,Norm,2fmCon,2Story,1895,2006,Gable,VinylSd,VinylSd,None,3,GasA,0,6.942156705699469,2,3,9,NA,0,0.0,119600,0.0,11,7,7.596894438144544,0,2.0,1,0,1,0,1,0
1957,RL,Pave,Lvl,NAmes,Artery,Norm,1Fam,1.5Fin,1949,2006,Gable,MetalSd,MetalSd,None,3,GasA,1,6.511745329644728,1,3,6,Detchd,1,2.0,122900,9.0,12,7,6.829793737512425,1,1.0,1,1,0,0,1,0
380,RL,Pave,Lvl,NWAmes,PosN,Norm,1Fam,1Story,1981,1981,Hip,BrkFace,BrkFace,None,4,GasA,1,7.83399634170946,2,4,9,Attchd,3,2.0,278000,11.0,13,7,7.83399634170946,4,4.0,1,1,1,0,0,0
2860,RL,Pave,HLS,Crawfor,Norm,Norm,1Fam,2Story,1929,1950,Gable,BrkFace,Stucco,None,4,GasA,1,6.675823221634848,1,4,7,Detchd,1,2.0,230000,9.0,15,6,7.325148957955575,8,1.0,1,1,0,0,1,0
2517,RL,Pave,Lvl,Veenker,Norm,Norm,TwnhsE,1Story,1995,1996,Hip,BrkFace,BrkFace,None,4,GasA,1,7.3098814858247865,1,5,6,Attchd,3,2.0,270000,11.0,13,8,7.3098814858247865,4,3.0,1,1,1,0,1,0
1933,RL,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,1952,1952,Hip,Wd Sdng,Wd Sdng,None,3,GasA,1,6.855408798609928,1,3,5,Detchd,1,2.0,125000,9.0,12,6,6.855408798609928,0,1.0,1,1,1,0,0,0
820,RL,Pave,Lvl,CollgCr,Norm,Norm,1Fam,1Story,2007,2008,Hip,VinylSd,VinylSd,Stone,5,GasA,1,7.449498005382849,2,4,7,Attchd,2,3.0,297000,11.0,13,7,7.449498005382849,4,3.0,1,1,1,0,1,1
675,RL,Pave,HLS,NAmes,Norm,Norm,1Fam,1Story,1958,1958,Flat,Wd Sdng,Wd Sdng,BrkFace,4,GasA,1,7.04141166379481,1,3,5,Basment,2,1.0,113500,9.0,12,6,7.04141166379481,4,1.0,1,1,1,0,0,0
2910,RM,Pave,Lvl,MeadowV,Norm,Norm,TwnhsE,2Story,1977,1977,Gable,CemntBd,CmentBd,None,3,GasA,1,6.8308742346461795,2,3,6,Attchd,2,1.0,127000,9.0,11,6,7.297091005160418,3,2.0,1,1,1,0,0,0
21,RL,Pave,Lvl,NWAmes,Norm,Norm,1Fam,1Story,1977,1977,Hip,Plywood,Plywood,BrkFace,4,GasA,1,7.520234556474628,2,3,7,Attchd,2,2.0,190000,10.0,12,6,7.520234556474628,3,2.0,1,1,1,0,0,0
1873,RL,Pave,Lvl,NWAmes,Norm,Norm,1Fam,1Story,1973,1973,Hip,HdBoard,HdBoard,BrkFace,3,GasA,1,7.1252830915107115,1,3,6,Attchd,1,2.0,175500,9.0,13,6,7.1252830915107115,3,2.0,1,1,0,0,0,0
2125,RL,Pave,Lvl,CollgCr,Norm,Norm,1Fam,1Story,1994,1994,Gable,VinylSd,VinylSd,None,4,GasA,1,6.898714534329988,1,3,5,Detchd,1,1.0,146000,8.0,12,7,6.898714534329988,0,2.0,1,1,0,0,0,0
1489,RL,Pave,Lvl,Edwards,Norm,Norm,1Fam,1Story,1965,1965,Gable,HdBoard,HdBoard,None,3,GasA,1,7.136483208590247,1,3,6,Attchd,3,1.0,147500,10.0,11,7,7.136483208590247,0,3.0,1,1,1,0,0,0
2383,RL,Pave,Lvl,NridgHt,Norm,Norm,1Fam,1Story,2006,2006,Gable,VinylSd,VinylSd,NA,5,GasA,1,7.638679823876112,2,5,7,Attchd,3,3.0,465000,12.0,15,8,7.638679823876112,4,4.0,1,1,1,0,0,1
983,RL,Pave,Lvl,Mitchel,Norm,Norm,1Fam,SFoyer,1978,1978,Gable,Plywood,Plywood,BrkFace,4,GasA,1,7.01301578963963,1,4,4,Attchd,3,2.0,165500,11.0,11,7,7.01301578963963,3,2.0,1,1,1,0,0,0
1325,RM,Pave,Lvl,OldTown,Norm,Norm,1Fam,1.5Fin,1954,1954,Gable,MetalSd,MetalSd,BrkFace,3,GasA,0,6.957497370876951,2,3,7,Attchd,1,1.0,131500,7.0,10,6,7.493317248862145,0,2.0,1,1,0,0,0,0
1378,RL,Pave,Lvl,Sawyer,Norm,Norm,1Fam,1Story,1965,1965,Hip,HdBoard,HdBoard,None,3,GasA,1,6.947937068614969,1,3,5,Detchd,1,1.0,129500,8.0,10,6,6.947937068614969,0,2.0,1,1,0,0,0,0
1537,RL,Pave,HLS,Crawfor,Norm,Norm,1Fam,2Story,1935,1950,Gable,BrkFace,Stucco,Stone,3,GasA,1,6.891625897052253,1,3,9,Detchd,3,2.0,257076,10.0,14,6,7.535830462798367,8,2.0,1,1,1,0,1,0
905,RL,Pave,Lvl,Edwards,Norm,Norm,1Fam,1.5Fin,1941,1960,Gable,Wd Sdng,Wd Sdng,None,3,GasA,1,6.892641641172089,2,3,6,Detchd,1,2.0,117000,9.0,10,6,7.380879035564116,0,2.0,1,1,1,0,1,0
1532,RL,Pave,HLS,Crawfor,Norm,Norm,1Fam,2Story,1931,2000,Gable,Stucco,Wd Shng,None,4,GasA,1,6.747586526829315,1,3,6,Attchd,2,1.0,149000,9.0,13,5,7.315218389752975,4,2.0,1,1,1,0,1,0
132,RL,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,1954,1954,Gable,HdBoard,HdBoard,Stone,3,GasA,1,6.96979066990159,1,3,6,Attchd,2,1.0,128000,9.0,10,6,6.96979066990159,0,2.0,1,1,1,0,0,0
1078,RL,Pave,Lvl,NridgHt,Norm,Norm,Twnhs,2Story,2003,2004,Gable,VinylSd,Wd Shng,Stone,4,GasA,1,6.639875833826536,2,4,6,BuiltIn,2,2.0,155000,10.0,12,7,7.394493107219038,0,3.0,1,1,1,0,1,1
2511,FV,Pave,Lvl,Somerst,Norm,Norm,TwnhsE,2Story,2000,2000,Gable,MetalSd,MetalSd,BrkFace,4,GasA,1,6.645090969505644,2,4,4,Detchd,1,2.0,166000,9.0,11,7,7.329749689041512,0,3.0,1,1,1,0,0,0
912,RL,Pave,Lvl,SWISU,Norm,Norm,1Fam,1.5Fin,1928,1950,Gable,WdShing,Plywood,None,3,GasA,1,7.192182058713246,2,4,7,Detchd,1,2.0,135000,9.0,7,6,7.591861714889934,6,3.0,1,1,1,0,1,0
2351,RL,Pave,Lvl,NWAmes,RRAn,Norm,1Fam,2Story,1978,1978,Gable,Plywood,Plywood,BrkFace,4,GasA,1,7.239214973779806,3,4,12,Attchd,2,2.0,250000,10.0,12,6,7.932003152361385,6,5.0,1,1,1,1,0,0
330,RM,Pave,Lvl,MeadowV,Norm,Norm,Twnhs,2Story,1970,1970,Gable,CemntBd,CmentBd,None,3,GasA,1,6.304448802421981,1,3,5,NA,0,0.0,76000,0.0,11,6,6.996681488176539,0,2.0,1,0,1,0,0,0
2586,RL,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,1951,1951,Hip,Wd Sdng,Wd Sdng,BrkFace,3,GasA,1,7.362645270417825,1,4,5,Attchd,1,2.0,155000,9.0,12,6,7.362645270417825,4,2.0,1,1,0,0,0,0
224,RL,Pave,Lvl,Sawyer,Norm,Norm,1Fam,2Story,1969,1969,Gable,HdBoard,HdBoard,Stone,3,GasA,1,6.498282149476434,1,3,7,Attchd,3,1.0,158000,10.0,13,6,7.210079628170788,0,2.0,1,1,1,0,0,0
98,FV,Pave,Lvl,Somerst,Norm,Norm,Twnhs,2Story,2004,2005,Gable,MetalSd,MetalSd,None,4,GasA,1,6.398594934535208,2,4,4,Detchd,2,2.0,149500,10.0,12,7,7.0909098220799835,0,4.0,1,1,1,0,1,1
2565,RL,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,1954,1975,Gable,MetalSd,MetalSd,None,3,GasA,1,6.842683282238422,1,3,5,Attchd,1,1.0,121000,8.0,11,7,6.842683282238422,0,1.0,1,1,1,0,1,0
1934,RL,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,1953,1953,Hip,Wd Sdng,Wd Sdng,None,3,GasA,1,6.947937068614969,1,3,6,Attchd,3,1.0,136000,10.0,13,6,6.947937068614969,0,2.0,1,1,0,0,0,0
997,RL,Pave,Lvl,Gilbert,Norm,Norm,1Fam,2Story,1996,1996,Gable,HdBoard,HdBoard,None,4,GasA,1,6.821107472256465,2,3,7,Attchd,3,2.0,173000,11.0,11,6,7.400620577371135,3,3.0,1,1,1,0,0,0
64,RL,Pave,Lvl,NoRidge,Norm,Norm,1Fam,2Story,1999,2007,Gable,VinylSd,VinylSd,BrkFace,4,GasA,1,7.060476365999801,2,4,9,Attchd,3,3.0,290000,12.0,15,7,7.7279755421055585,4,3.0,1,1,1,0,1,0
1799,FV,Pave,Lvl,Somerst,Norm,Norm,1Fam,2Story,2007,2007,Gable,CemntBd,CmentBd,None,4,GasA,1,7.077498053569231,2,5,11,BuiltIn,3,2.0,303477,11.0,13,7,7.8674885686991285,4,3.0,1,1,1,0,0,1
230,RL,Pave,Low,ClearCr,Norm,Norm,1Fam,1Story,1977,2001,Hip,Wd Sdng,Wd Sdng,None,4,GasA,1,7.302496423727326,1,3,4,Attchd,2,2.0,270000,10.0,14,8,7.302496423727326,6,3.0,1,1,0,0,1,0
1295,RM,Pave,Lvl,OldTown,Artery,Norm,1Fam,1.5Fin,1920,1950,Gable,WdShing,Wd Shng,None,3,GasA,0,6.8679744089702925,1,5,6,Detchd,1,1.0,122250,6.0,10,4,7.462214939768189,4,1.0,1,1,1,0,1,0
638,RL,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,1955,1955,Gable,AsbShng,AsbShng,None,3,GasA,1,7.232010331664759,1,4,6,Attchd,1,1.0,153000,8.0,10,6,7.232010331664759,0,2.0,1,1,0,0,0,0
2278,RL,Pave,Lvl,Mitchel,Feedr,Norm,1Fam,1Story,2007,2007,Gable,VinylSd,VinylSd,None,4,GasA,1,7.02197642307216,1,3,6,NA,0,0.0,147000,0.0,10,6,7.02197642307216,0,1.0,1,0,1,0,0,1
2202,RL,Pave,Lvl,Crawfor,Norm,Norm,1Fam,2Story,1930,1995,Gable,Wd Sdng,Wd Sdng,None,4,GasA,1,6.342121418721152,1,3,5,Detchd,1,1.0,148500,8.0,15,6,7.002155954403621,4,2.0,1,1,0,0,1,0
2833,RM,Pave,Lvl,Edwards,Norm,Norm,TwnhsE,2Story,2004,2004,Gable,VinylSd,VinylSd,Stone,4,GasA,1,6.884486652042782,2,4,7,Detchd,1,2.0,130000,9.0,12,7,7.443663683115591,0,2.0,1,1,1,0,0,1
1707,RL,Pave,HLS,NridgHt,Norm,Norm,1Fam,1Story,2006,2006,Hip,MetalSd,MetalSd,Stone,5,GasA,1,7.497207223203318,2,5,7,Attchd,3,3.0,372000,12.0,14,8,7.497207223203318,4,3.0,1,1,1,0,0,1
2428,RL,Pave,Lvl,Blmngtn,Norm,Norm,TwnhsE,1Story,2005,2005,Gable,VinylSd,VinylSd,BrkFace,4,GasA,1,7.317876198626496,2,4,6,Attchd,3,2.0,213490,11.0,12,7,7.317876198626496,4,2.0,1,1,1,0,0,1
242,RL,Pave,Lvl,Edwards,Norm,Norm,1Fam,1Story,2009,2010,Gable,VinylSd,VinylSd,Stone,4,GasA,1,7.319202458767849,1,4,5,Attchd,2,2.0,308030,10.0,12,7,7.319202458767849,6,2.0,1,1,0,0,1,1
1564,RL,Pave,Lvl,Mitchel,Norm,Norm,1Fam,1Story,1996,1997,Gable,MetalSd,MetalSd,BrkFace,5,GasA,1,7.617267813628347,3,4,7,Attchd,3,3.0,300000,12.0,12,7,7.617267813628347,0,4.0,1,1,1,0,1,0
2613,RL,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,1959,1959,Hip,BrkFace,BrkFace,None,3,GasA,1,7.085901464365611,1,3,6,BuiltIn,3,2.0,159500,11.0,12,6,7.085901464365611,2,2.0,1,1,1,0,0,0
2832,RM,Pave,Lvl,Edwards,Norm,Norm,Twnhs,2Story,2004,2004,Gable,VinylSd,VinylSd,Stone,4,GasA,1,6.878326468291325,2,4,7,Detchd,1,2.0,137500,9.0,12,7,7.444248649496705,0,2.0,1,1,1,0,0,1
2459,RL,Pave,Lvl,Somerst,Norm,Norm,1Fam,1Story,2005,2005,Gable,VinylSd,VinylSd,BrkFace,4,GasA,1,7.388327859577107,2,4,7,Attchd,2,3.0,232000,11.0,12,7,7.388327859577107,0,2.0,1,1,1,0,0,1
1360,RM,Grvl,Lvl,IDOTRR,RRNe,Norm,1Fam,1Story,1930,1950,Gable,Stucco,Wd Shng,None,3,GasA,1,6.645090969505644,1,3,4,Detchd,1,2.0,93850,9.0,12,8,6.645090969505644,0,1.0,1,1,1,0,1,0
2723,RL,Pave,Lvl,Sawyer,Norm,Norm,1Fam,1Story,1924,1950,Gable,BrkFace,Wd Sdng,Stone,3,GasA,0,6.771935555839602,1,2,5,Detchd,1,1.0,105000,6.0,10,6,6.771935555839602,4,1.0,1,1,1,0,1,0
1350,RM,Pave,Lvl,BrkSide,Feedr,RRNn,1Fam,1Story,1927,1950,Gable,MetalSd,MetalSd,None,3,GasA,0,6.255750041753367,1,2,4,Detchd,1,1.0,68500,7.0,10,6,6.255750041753367,0,1.0,1,1,1,0,1,0
136,RL,Pave,Lvl,NAmes,Feedr,Norm,Duplex,2Story,1960,1960,Gable,MetalSd,MetalSd,BrkFace,3,GasA,1,7.00850518208228,2,3,12,Detchd,1,2.0,154300,9.0,10,6,7.729735331385051,0,2.0,1,1,0,0,0,0
2235,RM,Pave,Lvl,IDOTRR,Artery,Norm,1Fam,1.5Fin,1925,2003,Gable,VinylSd,VinylSd,None,3,GasA,1,6.842683282238422,2,3,6,NA,0,0.0,129850,0.0,12,8,7.379008127628304,0,2.0,1,0,1,0,1,0
1993,RM,Pave,Lvl,OldTown,Norm,Norm,1Fam,2Story,1910,1950,Gable,MetalSd,MetalSd,None,3,GasA,1,6.424869023905388,1,3,6,Detchd,1,2.0,114000,7.0,12,6,7.117205503164344,0,1.0,1,1,1,0,1,0
1309,RM,Pave,Lvl,OldTown,Artery,Norm,1Fam,1.5Fin,1915,1950,Gable,Wd Sdng,Wd Sdng,None,3,GasA,1,6.776506992372183,1,3,7,Detchd,1,3.0,153900,10.0,13,6,7.256297239690681,4,2.0,1,1,1,0,1,0
402,RL,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,1971,2006,Gable,VinylSd,VinylSd,None,3,GasA,1,6.762729506931879,1,3,5,Detchd,1,2.0,130000,9.0,11,7,6.762729506931879,0,1.0,1,1,0,0,1,0
1592,RM,Pave,Lvl,Mitchel,Norm,Norm,TwnhsE,1Story,1997,1997,Hip,VinylSd,VinylSd,BrkFace,5,GasA,1,7.081708586105575,2,3,4,Attchd,2,2.0,160500,10.0,11,6,7.081708586105575,0,3.0,1,1,1,0,0,0
2409,RL,Pave,Lvl,NridgHt,Norm,Norm,TwnhsE,1Story,2006,2006,Hip,MetalSd,MetalSd,BrkFace,5,GasA,1,7.418780882750794,2,4,6,Attchd,2,2.0,310090,10.0,14,8,7.418780882750794,4,3.0,1,1,1,0,0,1
539,RL,Pave,Lvl,SawyerW,Norm,Norm,1Fam,1Story,2003,2003,Gable,VinylSd,VinylSd,NA,4,GasA,1,7.0909098220799835,2,4,5,Attchd,2,2.0,184900,10.0,12,7,7.0909098220799835,0,3.0,1,1,1,0,0,1
1940,RL,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,1956,2000,Hip,Wd Sdng,Wd Sdng,None,4,GasA,1,6.834108738813838,1,3,4,Attchd,1,1.0,132000,8.0,12,6,6.834108738813838,0,1.0,1,1,1,0,1,0
588,RL,Pave,Lvl,NWAmes,Feedr,Norm,1Fam,1Story,1969,1969,Gable,HdBoard,HdBoard,BrkFace,4,GasA,1,7.198183577101943,2,3,6,Attchd,2,2.0,163000,10.0,10,6,7.198183577101943,2,3.0,1,1,1,0,0,0
96,FV,Pave,Lvl,Somerst,Norm,Norm,TwnhsE,2Story,2004,2004,Gable,MetalSd,MetalSd,BrkFace,4,GasA,1,6.398594934535208,2,4,4,Detchd,2,2.0,155000,10.0,12,7,7.0909098220799835,0,3.0,1,1,1,0,0,1
1187,RL,Pave,Lvl,NWAmes,Norm,Norm,1Fam,SLvl,1969,1969,Gable,MetalSd,MetalSd,None,3,GasA,1,7.2640301428995295,2,3,7,Attchd,2,2.0,183000,10.0,12,6,7.2640301428995295,0,3.0,1,1,1,0,0,0
2154,RL,Pave,Lvl,CollgCr,Norm,Norm,1Fam,2Story,1996,2002,Gable,VinylSd,VinylSd,BrkFace,4,GasA,1,7.10085190894405,2,4,7,Attchd,2,2.0,211000,10.0,12,7,7.597396320212795,6,4.0,1,1,1,0,1,0
550,RL,Pave,Lvl,SawyerW,RRAe,Norm,1Fam,2Story,1994,1994,Gable,VinylSd,VinylSd,None,4,GasA,1,6.626717749249025,2,4,6,Attchd,2,2.0,184000,10.0,12,7,7.340186835320115,0,4.0,1,1,1,0,0,0
811,RL,Pave,Bnk,SawyerW,Norm,Norm,Duplex,1Story,1979,1979,Gable,HdBoard,HdBoard,None,0,GasA,1,7.336936913707618,2,3,8,Attchd,1,2.0,118858,9.0,10,6,7.336936913707618,0,2.0,0,1,0,0,0,0
124,RL,Pave,Lvl,NAmes,Norm,Norm,1Fam,SLvl,1964,1964,Hip,Wd Sdng,HdBoard,BrkFace,3,GasA,1,7.050122520269059,1,3,6,Attchd,2,2.0,180500,10.0,12,6,7.050122520269059,4,2.0,1,1,0,0,0,0
1836,FV,Pave,Lvl,Somerst,Norm,Norm,TwnhsE,1Story,2006,2007,Gable,VinylSd,VinylSd,Stone,4,GasA,1,7.049254841255837,2,4,5,Attchd,3,2.0,166000,11.0,13,7,7.049254841255837,0,3.0,1,1,1,0,1,1
779,RL,Pave,Lvl,Sawyer,Norm,Norm,1Fam,SLvl,1960,1960,Hip,Wd Sdng,Wd Sdng,BrkFace,3,GasA,1,7.037905963447182,1,3,6,Attchd,2,2.0,148000,10.0,11,6,7.037905963447182,3,2.0,1,1,1,0,0,0
1886,RL,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,1956,1956,Hip,Wd Sdng,Wd Sdng,None,3,GasA,1,6.980075940561763,1,4,6,Detchd,1,2.0,124000,9.0,10,6,6.980075940561763,4,1.0,1,1,1,0,0,0
1724,RL,Pave,Lvl,NridgHt,Norm,Norm,TwnhsE,1Story,2005,2005,Hip,MetalSd,MetalSd,BrkFace,5,GasA,1,7.3537223303996315,2,5,6,Attchd,3,2.0,277500,11.0,14,8,7.3537223303996315,4,3.0,1,1,1,0,0,1
2450,RL,Pave,Lvl,NoRidge,Norm,Norm,1Fam,2Story,1995,1995,Hip,VinylSd,VinylSd,BrkFace,4,GasA,1,7.214504414151143,2,4,9,Attchd,2,3.0,350000,11.0,13,7,7.910957382845589,5,3.0,1,1,1,0,0,0
1013,RL,Pave,HLS,StoneBr,Norm,Norm,1Fam,1Story,2004,2004,Hip,VinylSd,VinylSd,BrkFace,5,GasA,1,7.541683099882111,2,5,7,Attchd,3,3.0,387000,12.0,14,8,7.541683099882111,4,3.0,1,1,1,0,0,1
