MS Zoning,Street,Alley,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Bedroom AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Sale Type,SalePrice
RM,Pave,NA,BrDale,Norm,Twnhs,2Story,6,1971,1971,Gable,HdBoard,HdBoard,232.0,TA,TA,CBlock,TA,TA,No,ALQ,387.0,96.0,483.0,GasA,TA,Y,SBrkr,483,504,987,1,2,TA,4,Typ,0,NA,Detchd,Unf,1.0,264.0,TA,TA,Y,0,0,COD,85400
RL,Pave,NA,CollgCr,Norm,1Fam,1Story,7,2005,2005,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,815.0,1208.0,GasA,Ex,Y,SBrkr,1208,0,1208,2,2,Gd,6,Typ,0,NA,Attchd,RFn,2.0,632.0,TA,TA,Y,105,58,WD ,183600
RL,Pave,NA,SawyerW,Feedr,1Fam,2Story,5,1880,2007,Gable,HdBoard,HdBoard,0.0,Gd,TA,PConc,NA,NA,NA,NA,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,1288,728,2016,1,4,TA,7,Mod,1,TA,Attchd,Unf,2.0,576.0,TA,TA,P,0,0,WD ,131000
FV,Pave,Pave,Somerst,Norm,Twnhs,2Story,8,1999,2000,Gable,MetalSd,MetalSd,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,813.0,147.0,960.0,GasA,Ex,Y,SBrkr,962,645,1607,2,3,Gd,7,Typ,0,NA,Detchd,Unf,2.0,480.0,TA,TA,Y,169,0,ConLD,200000
RL,Pave,NA,CollgCr,Norm,1Fam,1Story,7,2007,2007,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,1327.0,1351.0,GasA,Ex,Y,SBrkr,1361,0,1361,2,3,Gd,6,Typ,0,NA,Attchd,RFn,2.0,610.0,TA,TA,Y,0,50,WD ,193000
RL,Pave,NA,Mitchel,Norm,1Fam,1Story,5,2004,2005,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,Ex,TA,Av,Unf,0.0,1430.0,1430.0,GasA,Ex,Y,SBrkr,1430,0,1430,2,3,Gd,7,Typ,0,NA,Attchd,RFn,2.0,624.0,TA,TA,Y,0,0,WD ,173500
RM,Pave,Grvl,OldTown,Norm,1Fam,2Story,5,1916,1950,Gable,AsbShng,AsbShng,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,624.0,624.0,GasA,Fa,N,SBrkr,624,720,1344,1,4,TA,7,Typ,0,NA,Detchd,Unf,3.0,513.0,Fa,Fa,Y,0,0,COD,98000
RL,Pave,NA,Sawyer,Feedr,1Fam,1Story,5,1963,1963,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,TA,TA,No,Rec,651.0,470.0,1121.0,GasA,TA,Y,SBrkr,1121,0,1121,1,3,TA,5,Typ,0,NA,Detchd,Unf,2.0,480.0,TA,TA,Y,0,80,WD ,139000
RL,Pave,NA,Sawyer,Norm,1Fam,1Story,6,1977,1977,Gable,Plywood,Plywood,148.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,660.0,660.0,GasA,Ex,Y,SBrkr,1285,0,1285,1,3,TA,7,Typ,1,TA,Attchd,RFn,2.0,528.0,TA,TA,Y,138,0,WD ,143500
FV,Pave,NA,Somerst,Norm,1Fam,2Story,7,2009,2009,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,732.0,756.0,GasA,Ex,Y,SBrkr,764,783,1547,2,3,Gd,7,Typ,0,NA,Attchd,Unf,2.0,614.0,TA,TA,Y,169,45,Con,215200
RL,Pave,NA,Sawyer,Norm,1Fam,1Story,5,1968,1968,Gable,VinylSd,VinylSd,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,492.0,402.0,894.0,GasA,Gd,Y,SBrkr,894,0,894,1,3,TA,5,Typ,1,Po,Attchd,Fin,2.0,450.0,TA,TA,Y,0,0,WD ,129000
RL,Pave,NA,StoneBr,Norm,TwnhsE,1Story,8,2000,2000,Gable,CemntBd,CmentBd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,343.0,1501.0,GasA,Ex,Y,SBrkr,1659,0,1659,2,2,Ex,5,Typ,1,Ex,Attchd,Fin,2.0,499.0,TA,TA,Y,212,59,WD ,278000
RL,Pave,NA,NridgHt,Norm,1Fam,2Story,8,2005,2006,Gable,CemntBd,CmentBd,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,1209.0,1209.0,GasA,Ex,Y,SBrkr,1209,1044,2253,2,3,Ex,8,Typ,1,Gd,Attchd,Fin,2.0,575.0,TA,TA,Y,243,142,New,344133
RL,Pave,NA,Gilbert,Norm,1Fam,1Story,6,1992,2007,Gable,HdBoard,HdBoard,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,233.0,1168.0,GasA,Ex,Y,SBrkr,1187,0,1187,2,3,TA,6,Typ,0,NA,Attchd,Fin,2.0,420.0,TA,TA,Y,483,21,WD ,185000
RL,Pave,NA,Gilbert,Norm,2fmCon,1Story,5,1955,1955,Hip,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,1056.0,0.0,1056.0,GasA,TA,N,SBrkr,1056,0,1056,1,3,TA,5,Typ,0,NA,Attchd,Fin,2.0,572.0,TA,TA,Y,264,0,WD ,145000
RL,Pave,NA,NAmes,Norm,1Fam,1Story,6,1961,1961,Hip,MetalSd,MetalSd,3.0,TA,TA,CBlock,TA,TA,No,Rec,1312.0,141.0,1453.0,GasA,Ex,Y,SBrkr,1453,0,1453,2,3,TA,6,Typ,1,TA,Attchd,RFn,2.0,530.0,TA,TA,Y,0,49,WD ,187500
RL,Pave,NA,Sawyer,RRAe,1Fam,1Story,5,1965,2009,Gable,MetalSd,MetalSd,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,553.0,224.0,894.0,GasA,Ex,Y,SBrkr,894,0,894,1,3,TA,5,Typ,1,Gd,Detchd,Unf,1.0,336.0,TA,TA,Y,416,144,WD ,138500
RL,Pave,Grvl,Crawfor,Norm,1Fam,1.5Fin,5,1937,1995,Gable,WdShing,Wd Shng,0.0,TA,TA,CBlock,TA,TA,No,BLQ,606.0,336.0,942.0,GasA,Ex,Y,SBrkr,1265,673,1938,2,4,Gd,7,Min2,1,Gd,Detchd,Unf,1.0,240.0,TA,TA,Y,0,40,WD ,198000
C (all),Pave,NA,IDOTRR,Feedr,2fmCon,2Story,5,1895,2006,Gable,VinylSd,VinylSd,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,957.0,957.0,GasA,Fa,N,SBrkr,1034,957,1991,2,4,TA,9,Typ,0,NA,NA,NA,0.0,0.0,NA,NA,N,0,0,WD ,119600
RL,Pave,NA,NAmes,Artery,1Fam,1.5Fin,5,1949,2006,Gable,MetalSd,MetalSd,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,672.0,672.0,GasA,Ex,Y,SBrkr,672,252,924,1,3,TA,6,Typ,1,Po,Detchd,Unf,2.0,576.0,TA,TA,Y,0,0,WD ,122900
RL,Pave,NA,NWAmes,PosN,1Fam,1Story,8,1981,1981,Hip,BrkFace,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,1104.0,1420.0,2524.0,GasA,TA,Y,SBrkr,2524,0,2524,2,4,Gd,9,Typ,1,Gd,Attchd,Fin,2.0,542.0,TA,TA,Y,474,120,WD ,278000
RL,Pave,NA,Crawfor,Norm,1Fam,2Story,8,1929,1950,Gable,BrkFace,Stucco,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,792.0,792.0,GasA,Fa,Y,SBrkr,792,725,1517,1,3,Gd,7,Typ,2,Gd,Detchd,Unf,2.0,400.0,TA,TA,Y,0,0,WD ,230000
RL,Pave,NA,Veenker,Norm,TwnhsE,1Story,8,1995,1996,Hip,BrkFace,BrkFace,0.0,Gd,Gd,PConc,Gd,Gd,Av,LwQ,437.0,0.0,1494.0,GasA,Ex,Y,SBrkr,1494,0,1494,1,2,Ex,6,Typ,1,Gd,Attchd,Fin,2.0,481.0,TA,TA,Y,0,30,WD ,270000
RL,Pave,NA,NAmes,Norm,1Fam,1Story,6,1952,1952,Hip,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,TA,TA,No,ALQ,441.0,507.0,948.0,GasA,TA,Y,SBrkr,948,0,948,1,2,TA,5,Typ,0,NA,Detchd,Unf,2.0,410.0,TA,TA,N,0,48,WD ,125000
RL,Pave,NA,CollgCr,Norm,1Fam,1Story,8,2007,2008,Hip,VinylSd,VinylSd,336.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1288.0,417.0,1705.0,GasA,Ex,Y,SBrkr,1718,0,1718,2,3,Gd,7,Typ,1,Gd,Attchd,RFn,3.0,826.0,TA,TA,Y,208,44,WD ,297000
RL,Pave,NA,NAmes,Norm,1Fam,1Story,6,1958,1958,Flat,Wd Sdng,Wd Sdng,82.0,TA,TA,CBlock,Gd,TA,Gd,Unf,0.0,160.0,160.0,GasA,Fa,Y,SBrkr,1142,0,1142,1,2,TA,5,Typ,1,Gd,Basment,RFn,1.0,384.0,TA,TA,Y,0,28,WD ,113500
RM,Pave,NA,MeadowV,Norm,TwnhsE,2Story,5,1977,1977,Gable,CemntBd,CmentBd,0.0,TA,TA,PConc,TA,TA,No,ALQ,548.0,36.0,757.0,GasA,Ex,Y,SBrkr,925,550,1475,2,4,TA,6,Typ,1,TA,Attchd,RFn,1.0,336.0,TA,TA,Y,104,26,WD ,127000
RL,Pave,NA,NWAmes,Norm,1Fam,1Story,6,1977,1977,Hip,Plywood,Plywood,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,1139.0,1844.0,GasA,Ex,Y,SBrkr,1844,0,1844,2,3,TA,7,Typ,1,TA,Attchd,RFn,2.0,546.0,TA,TA,Y,0,122,COD,190000
RL,Pave,NA,NWAmes,Norm,1Fam,1Story,7,1973,1973,Hip,HdBoard,HdBoard,320.0,TA,TA,CBlock,TA,TA,No,ALQ,916.0,326.0,1242.0,GasA,Fa,Y,SBrkr,1242,0,1242,1,3,TA,6,Typ,1,TA,Attchd,Unf,2.0,528.0,TA,TA,Y,0,0,WD ,175500
RL,Pave,NA,CollgCr,Norm,1Fam,1Story,5,1994,1994,Gable,VinylSd,VinylSd,0.0,TA,Gd,PConc,Gd,Gd,No,GLQ,420.0,570.0,990.0,GasA,Ex,Y,SBrkr,990,0,990,1,3,TA,5,Typ,0,NA,Detchd,Unf,1.0,384.0,TA,TA,Y,256,0,WD ,146000
RL,Pave,NA,Edwards,Norm,1Fam,1Story,5,1965,1965,Gable,HdBoard,HdBoard,0.0,Gd,TA,CBlock,TA,TA,No,BLQ,830.0,136.0,1256.0,GasA,Gd,Y,SBrkr,1256,0,1256,1,3,TA,6,Typ,0,NA,Attchd,Fin,1.0,276.0,TA,TA,Y,736,68,WD ,147500
RL,Pave,NA,NridgHt,Norm,1Fam,1Story,10,2006,2006,Gable,VinylSd,VinylSd,0.0,Ex,TA,PConc,Ex,Gd,Gd,GLQ,1386.0,690.0,2076.0,GasA,Ex,Y,SBrkr,2076,0,2076,2,2,Ex,7,Typ,1,Gd,Attchd,Fin,3.0,850.0,TA,TA,Y,216,229,New,465000
RL,Pave,NA,Mitchel,Norm,1Fam,SFoyer,5,1978,1978,Gable,Plywood,Plywood,104.0,TA,Gd,PConc,Gd,TA,Av,GLQ,1097.0,0.0,1097.0,GasA,Ex,Y,SBrkr,1110,0,1110,1,1,Gd,4,Typ,1,TA,Attchd,Fin,2.0,602.0,TA,TA,Y,303,30,WD ,165500
RM,Pave,Grvl,OldTown,Norm,1Fam,1.5Fin,5,1954,1954,Gable,MetalSd,MetalSd,335.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,1050.0,1050.0,GasA,Ex,N,FuseF,1050,745,1795,2,4,TA,7,Typ,0,NA,Attchd,Unf,1.0,352.0,Fa,TA,Y,0,0,WD ,131500
RL,Pave,NA,Sawyer,Norm,1Fam,1Story,5,1965,1965,Hip,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,134.0,1040.0,GasA,Ex,Y,SBrkr,1040,0,1040,1,3,TA,5,Typ,0,NA,Detchd,Unf,1.0,384.0,TA,TA,Y,0,0,WD ,129500
RL,Pave,NA,Crawfor,Norm,1Fam,2Story,8,1935,1950,Gable,BrkFace,Stucco,40.0,TA,TA,PConc,TA,Fa,No,LwQ,210.0,398.0,608.0,GasA,TA,Y,SBrkr,983,890,1873,1,4,TA,9,Typ,2,Gd,Detchd,Fin,2.0,786.0,Fa,TA,Y,0,0,WD ,257076
RL,Pave,Grvl,Edwards,Norm,1Fam,1.5Fin,5,1941,1960,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,TA,TA,No,LwQ,408.0,156.0,984.0,GasA,Ex,Y,SBrkr,984,620,1604,2,3,TA,6,Min2,0,NA,Detchd,Unf,2.0,660.0,TA,TA,Y,0,68,WD ,117000
RL,Pave,NA,Crawfor,Norm,1Fam,2Story,7,1931,2000,Gable,Stucco,Wd Shng,0.0,TA,Fa,BrkTil,Gd,TA,No,Unf,0.0,776.0,776.0,GasA,TA,Y,SBrkr,851,651,1502,1,3,TA,6,Typ,1,Gd,Attchd,RFn,1.0,270.0,TA,TA,P,0,0,WD ,149000
RL,Pave,NA,NAmes,Norm,1Fam,1Story,5,1954,1954,Gable,HdBoard,HdBoard,110.0,TA,TA,CBlock,TA,TA,No,Rec,354.0,412.0,1056.0,GasA,TA,Y,SBrkr,1063,0,1063,1,3,TA,6,Typ,0,NA,Attchd,RFn,1.0,280.0,TA,TA,Y,0,0,WD ,128000
RL,Pave,NA,NridgHt,Norm,Twnhs,2Story,7,2003,2004,Gable,VinylSd,Wd Shng,106.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,764.0,764.0,GasA,Ex,Y,SBrkr,764,862,1626,2,2,Gd,6,Typ,0,NA,BuiltIn,RFn,2.0,474.0,TA,TA,Y,0,27,WD ,155000
FV,Pave,NA,Somerst,Norm,TwnhsE,2Story,6,2000,2000,Gable,MetalSd,MetalSd,513.0,Gd,TA,PConc,Gd,TA,No,GLQ,353.0,403.0,756.0,GasA,Ex,Y,SBrkr,768,756,1524,2,2,Gd,4,Typ,0,NA,Detchd,Unf,2.0,440.0,TA,TA,Y,0,32,WD ,166000
RL,Pave,NA,SWISU,Norm,1Fam,1.5Fin,4,1928,1950,Gable,WdShing,Plywood,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,622.0,500.0,1122.0,GasA,TA,Y,SBrkr,1328,653,1981,2,4,Gd,7,Min2,2,TA,Detchd,Unf,2.0,576.0,TA,TA,Y,431,44,WD ,135000
RL,Pave,NA,NWAmes,RRAn,1Fam,2Story,7,1978,1978,Gable,Plywood,Plywood,184.0,TA,TA,CBlock,Gd,TA,No,BLQ,790.0,133.0,1392.0,GasA,TA,Y,SBrkr,1392,1392,2784,3,5,Gd,12,Typ,2,TA,Attchd,RFn,2.0,564.0,TA,TA,Y,0,112,WD ,250000
RM,Pave,NA,MeadowV,Norm,Twnhs,2Story,4,1970,1970,Gable,CemntBd,CmentBd,0.0,TA,TA,CBlock,TA,TA,No,GLQ,176.0,370.0,546.0,GasA,Ex,Y,SBrkr,546,546,1092,1,3,TA,5,Typ,0,NA,NA,NA,0.0,0.0,NA,NA,Y,200,26,WD ,76000
RL,Pave,NA,NAmes,Norm,1Fam,1Story,6,1951,1951,Hip,Wd Sdng,Wd Sdng,522.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,216.0,216.0,GasA,TA,Y,SBrkr,1575,0,1575,1,2,Gd,5,Typ,1,Gd,Attchd,Unf,2.0,400.0,TA,TA,Y,0,0,WD ,155000
RL,Pave,NA,Sawyer,Norm,1Fam,2Story,6,1969,1969,Gable,HdBoard,HdBoard,143.0,TA,TA,CBlock,TA,TA,No,ALQ,371.0,292.0,663.0,GasA,TA,Y,SBrkr,663,689,1352,1,4,TA,7,Typ,0,NA,Attchd,Fin,1.0,299.0,TA,TA,Y,379,36,WD ,158000
FV,Pave,Pave,Somerst,Norm,Twnhs,2Story,7,2004,2005,Gable,MetalSd,MetalSd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,368.0,190.0,600.0,GasA,Ex,Y,SBrkr,600,600,1200,2,2,Gd,4,Typ,0,NA,Detchd,RFn,2.0,480.0,TA,TA,Y,0,172,WD ,149500
RL,Pave,NA,NAmes,Norm,1Fam,1Story,5,1954,1975,Gable,MetalSd,MetalSd,0.0,TA,Gd,CBlock,TA,TA,No,BLQ,486.0,450.0,936.0,GasA,TA,Y,FuseA,936,0,936,1,2,TA,5,Typ,0,NA,Attchd,Unf,1.0,240.0,TA,TA,Y,0,0,WD ,121000
RL,Pave,NA,NAmes,Norm,1Fam,1Story,6,1953,1953,Hip,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,TA,TA,No,Rec,85.0,0.0,1040.0,GasA,TA,Y,FuseF,1040,0,1040,1,3,TA,6,Typ,0,NA,Attchd,Fin,1.0,293.0,TA,TA,Y,0,0,WD ,136000
RL,Pave,NA,Gilbert,Norm,1Fam,2Story,6,1996,1996,Gable,HdBoard,HdBoard,0.0,TA,TA,PConc,Gd,TA,No,Rec,138.0,778.0,916.0,GasA,Gd,Y,SBrkr,916,720,1636,2,3,TA,7,Typ,1,TA,Attchd,Fin,2.0,386.0,TA,TA,Y,168,84,WD ,173000
RL,Pave,NA,NoRidge,Norm,1Fam,2Story,8,1999,2007,Gable,VinylSd,VinylSd,348.0,Gd,TA,PConc,Gd,TA,No,GLQ,524.0,628.0,1152.0,GasA,Ex,Y,SBrkr,1164,1106,2270,2,4,Gd,9,Typ,1,Gd,Attchd,Fin,3.0,671.0,TA,TA,Y,132,57,WD ,290000
FV,Pave,NA,Somerst,Norm,1Fam,2Story,8,2007,2007,Gable,CemntBd,CmentBd,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,64.0,1120.0,1184.0,GasA,Ex,Y,SBrkr,1184,1426,2610,2,4,Ex,11,Typ,1,Gd,BuiltIn,Fin,2.0,550.0,TA,TA,Y,208,364,New,303477
RL,Pave,NA,ClearCr,Norm,1Fam,1Story,7,1977,2001,Hip,Wd Sdng,Wd Sdng,0.0,Gd,Gd,CBlock,Gd,TA,Gd,ALQ,1092.0,328.0,1420.0,GasA,Gd,Y,SBrkr,1483,0,1483,1,1,TA,4,Typ,2,TA,Attchd,RFn,2.0,690.0,TA,TA,Y,496,0,WD ,270000
RM,Pave,NA,OldTown,Artery,1Fam,1.5Fin,5,1920,1950,Gable,WdShing,Wd Shng,0.0,Fa,Fa,BrkTil,TA,TA,No,Rec,360.0,576.0,936.0,GasA,Gd,N,FuseA,960,780,1740,1,2,Ex,6,Typ,1,Gd,Detchd,Unf,1.0,225.0,Fa,Fa,N,0,0,WD ,122250
RL,Pave,NA,NAmes,Norm,1Fam,1Story,5,1955,1955,Gable,AsbShng,AsbShng,0.0,TA,TA,CBlock,TA,TA,No,Rec,172.0,727.0,1382.0,GasA,Gd,Y,FuseA,1382,0,1382,1,3,Gd,6,Typ,0,NA,Attchd,Unf,1.0,350.0,TA,TA,Y,280,0,WD ,153000
RL,Pave,NA,Mitchel,Feedr,1Fam,1Story,5,2007,2007,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,ALQ,206.0,914.0,1120.0,GasA,Ex,Y,SBrkr,1120,0,1120,1,3,TA,6,Typ,0,NA,NA,NA,0.0,0.0,NA,NA,Y,0,30,New,147000
RL,Pave,NA,Crawfor,Norm,1Fam,2Story,7,1930,1995,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,Gd,TA,No,GLQ,246.0,285.0,531.0,GasA,TA,Y,SBrkr,567,531,1098,1,2,TA,5,Typ,1,Gd,Detchd,Unf,1.0,216.0,TA,TA,Y,0,0,WD ,148500
RM,Pave,NA,Edwards,Norm,TwnhsE,2Story,7,2004,2004,Gable,VinylSd,VinylSd,117.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,976.0,976.0,GasA,Ex,Y,SBrkr,976,732,1708,2,3,Gd,7,Maj1,0,NA,Detchd,Unf,2.0,380.0,TA,TA,Y,0,40,WD ,130000
RL,Pave,NA,NridgHt,Norm,1Fam,1Story,9,2006,2006,Hip,MetalSd,MetalSd,510.0,Ex,TA,PConc,Ex,TA,Gd,Unf,0.0,1802.0,1802.0,GasA,Ex,Y,SBrkr,1802,0,1802,2,3,Ex,7,Typ,1,Gd,Attchd,Fin,3.0,843.0,TA,TA,Y,158,105,WD ,372000
RL,Pave,NA,Blmngtn,Norm,TwnhsE,1Story,7,2005,2005,Gable,VinylSd,VinylSd,145.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,16.0,1346.0,1362.0,GasA,Ex,Y,SBrkr,1506,0,1506,2,2,Gd,6,Typ,1,Gd,Attchd,Fin,2.0,440.0,TA,TA,Y,142,20,WD ,213490
RL,Pave,NA,Edwards,Norm,1Fam,1Story,7,2009,2010,Gable,VinylSd,VinylSd,96.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,1346.0,162.0,1508.0,GasA,Ex,Y,SBrkr,1508,0,1508,1,1,Gd,5,Typ,2,TA,Attchd,RFn,2.0,572.0,TA,TA,Y,0,0,Con,308030
RL,Pave,NA,Mitchel,Norm,1Fam,1Story,7,1996,1997,Gable,MetalSd,MetalSd,668.0,Gd,TA,PConc,Ex,TA,Mn,GLQ,700.0,1140.0,1840.0,GasA,Ex,Y,SBrkr,2032,0,2032,3,3,Gd,7,Typ,0,NA,Attchd,Fin,3.0,786.0,TA,TA,Y,0,46,WD ,300000
RL,Pave,NA,NAmes,Norm,1Fam,1Story,6,1959,1959,Hip,BrkFace,BrkFace,0.0,TA,TA,CBlock,TA,TA,Mn,ALQ,655.0,0.0,655.0,GasA,Ex,Y,SBrkr,1194,0,1194,1,3,TA,6,Typ,1,Fa,BuiltIn,Fin,2.0,539.0,TA,TA,Y,0,0,WD ,159500
RM,Pave,NA,Edwards,Norm,Twnhs,2Story,7,2004,2004,Gable,VinylSd,VinylSd,50.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,970.0,970.0,GasA,Ex,Y,SBrkr,970,739,1709,2,3,Gd,7,Maj1,0,NA,Detchd,Unf,2.0,380.0,TA,TA,Y,0,40,WD ,137500
RL,Pave,NA,Somerst,Norm,1Fam,1Story,7,2005,2005,Gable,VinylSd,VinylSd,228.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,1616.0,1616.0,GasA,Ex,Y,SBrkr,1616,0,1616,2,3,Gd,7,Typ,0,NA,Attchd,RFn,3.0,834.0,TA,TA,Y,208,59,WD ,232000
